0431419596, {1095EC73-4D00-C067-B10A-EB8DE5A4B89A}, Text,1,0.040000,0.000000
0431419604, {1095EC73-5100-CA13-800A-6CFF8A9CEB87}, Pen,1,3.250000,0.070000
0431421075, {2095EC73-7100-C882-9BD2-A066FFF8189C}, Text,1,0.000000,0.010000
0431446563, {209D6C74-0700-C734-9933-E462FE653977}, Pen,1,1.260000,0.050000
0431446563, {209D6C74-0700-CA4B-8CD6-587F241BC739}, Pen,1,1.120000,0.080000
0431446531, {209D6C74-0700-C8B6-AE06-DE89B2541748}, Text,1,0.050000,0.030000
0431446522, {209D6C74-0800-CE13-8B0E-EEB2C00E3F69}, Text,1,0.010000,0.000000
0431445995, {209D6C74-0900-C117-8CA0-CBDB65224136}, Pen,1,3.110000,0.060000
0431445995, {209D6C74-0900-CA24-B21F-D974E0933D23}, Pen,1,0.050000,0.550000
0431419596, {00C67174-0000-CF48-B1E4-FE0E482FC283}, Text,1,0.040000,0.000000
0431419604, {00C67174-0700-CB14-9161-B499477248B6}, Pen,1,3.250000,0.070000
0431421075, {00C87174-0100-CA21-A78A-7D4B8FEBCE96}, Text,1,0.000000,0.010000
